dataset,window_length,window_label,model,r2_mean,has_anomaly
CY-Bench Maize (Europe),2,2016-2017,XGBoost,0.10296204500392758,False
CY-Bench Maize (Europe),2,2017-2018,Random Forest,-0.215214110397926,True
CY-Bench Maize (Europe),2,2017-2018,Ridge,-0.588362521599566,True
CY-Bench Maize (Europe),2,2017-2018,XGBoost,-0.24347407594327639,True
CY-Bench Maize (Europe),2,2018-2019,Random Forest,-0.9766758660334921,True
CY-Bench Maize (Europe),2,2018-2019,Ridge,-0.9701169206692853,True
CY-Bench Maize (Europe),2,2018-2019,XGBoost,-1.3002289269340714,True
CY-Bench Maize (Europe),2,2019-2020,Random Forest,0.27241418450805593,False
CY-Bench Maize (Europe),2,2019-2020,Ridge,0.35023134893675634,False
CY-Bench Maize (Europe),2,2019-2020,XGBoost,0.23458836769719593,False
CY-Bench Maize (Europe),5,2006-2010,Random Forest,0.5150533053831892,False
CY-Bench Maize (Europe),5,2006-2010,Ridge,0.4708460985423492,False
CY-Bench Maize (Europe),5,2006-2010,XGBoost,0.4155809840765716,False
CY-Bench Maize (Europe),5,2007-2011,Random Forest,0.5019709420957998,False
CY-Bench Maize (Europe),5,2007-2011,Ridge,0.49759318768358085,False
CY-Bench Maize (Europe),5,2007-2011,XGBoost,0.4725578804142909,False
CY-Bench Maize (Europe),5,2008-2012,Random Forest,0.5552947890920498,False
CY-Bench Maize (Europe),5,2008-2012,Ridge,0.5496228077148401,False
CY-Bench Maize (Europe),5,2008-2012,XGBoost,0.47881601499065624,False
CY-Bench Maize (Europe),5,2009-2013,Random Forest,0.495419185698984,False
CY-Bench Maize (Europe),5,2009-2013,Ridge,0.46834452927220543,False
CY-Bench Maize (Europe),5,2009-2013,XGBoost,0.4563475813934246,False
CY-Bench Maize (Europe),5,2010-2014,Random Forest,0.46532769951710745,False
CY-Bench Maize (Europe),5,2010-2014,Ridge,0.42745942954480204,False
CY-Bench Maize (Europe),5,2010-2014,XGBoost,0.37159724966807284,False
CY-Bench Maize (Europe),5,2011-2015,Random Forest,0.5193493212695081,False
CY-Bench Maize (Europe),5,2011-2015,Ridge,0.42623592112424963,False
CY-Bench Maize (Europe),5,2011-2015,XGBoost,0.43270035592322276,False
CY-Bench Maize (Europe),5,2012-2016,Random Forest,0.4356037829920685,False
CY-Bench Maize (Europe),5,2012-2016,Ridge,0.42070174731904597,False
CY-Bench Maize (Europe),5,2012-2016,XGBoost,0.32173133128544046,False
CY-Bench Maize (Europe),5,2013-2017,Random Forest,0.3126104829569483,False
CY-Bench Maize (Europe),5,2013-2017,Ridge,0.24216000724146733,False
CY-Bench Maize (Europe),5,2013-2017,XGBoost,0.16295366263797084,False
CY-Bench Maize (Europe),5,2014-2018,Random Forest,0.3265610184227856,True
CY-Bench Maize (Europe),5,2014-2018,Ridge,0.2559450325665614,True
CY-Bench Maize (Europe),5,2014-2018,XGBoost,0.27813125848945547,True
CY-Bench Maize (Europe),5,2015-2019,Random Forest,0.16359112016244737,True
CY-Bench Maize (Europe),5,2015-2019,Ridge,0.049609076559233155,True
CY-Bench Maize (Europe),5,2015-2019,XGBoost,0.11133343490747753,True
CY-Bench Maize (Europe),5,2016-2020,Random Forest,-0.042451925327350905,True
CY-Bench Maize (Europe),5,2016-2020,Ridge,-0.21876751136940634,True
