year,historical_mean_excl_2012_2014,historical_std_excl_2012_2014,year_mean,regions,records,z_score,direction
2012,1.7061793427230043,0.8966266724777039,2.3814366197183103,71,71,0.7531086211492302,positive anomaly
2014,1.7061793427230043,0.8966266724777039,2.4094366197183095,71,71,0.7843367798238154,positive anomaly
