Dataset,Folds,SpatialWorseFolds,Statistic,PValue,WPlus,WMinus,RankBiserialR,RandomRMSEPerFold,SpatialRMSEPerFold,Diffs
CY-Bench Maize (Europe),5,5,15.0,0.03125,15.0,0.0,1.0,"[1.316057, 1.23882, 1.208535, 1.199266, 1.332138]","[1.683396, 1.609086, 1.70958, 1.438475, 1.348922]","[0.367339, 0.370266, 0.501044, 0.239209, 0.016784]"
CY-Bench Maize (Europe),10,10,55.0,0.0009765625,55.0,0.0,1.0,"[1.225125, 1.207873, 1.22184, 1.164748, 1.145206, 1.281655, 1.161544, 1.1962, 1.315116, 1.184878]","[1.409571, 1.338309, 2.15955, 1.560603, 1.711036, 2.123007, 1.558306, 1.236845, 1.3819, 1.42351]","[0.184446, 0.130435, 0.93771, 0.395855, 0.565831, 0.841352, 0.396761, 0.040645, 0.066785, 0.238631]"
CY-Bench Wheat (Europe),5,4,14.0,0.0625,14.0,1.0,0.8666666666666667,"[0.706167, 0.677809, 0.657675, 0.752105, 0.693234]","[0.78277, 1.110774, 0.96214, 0.846476, 0.684885]","[0.076603, 0.432966, 0.304464, 0.094371, -0.008349]"
CY-Bench Wheat (Europe),10,9,53.0,0.0029296875,53.0,2.0,0.9272727272727272,"[0.721723, 0.680355, 0.658547, 0.709902, 0.702871, 0.609191, 0.755172, 0.706144, 0.739067, 0.653755]","[0.865994, 1.706239, 1.263247, 0.806917, 0.671354, 0.843248, 0.890481, 0.714361, 0.855001, 0.732555]","[0.144271, 1.025884, 0.604699, 0.097014, -0.031517, 0.234057, 0.13531, 0.008217, 0.115934, 0.078801]"
CY-Bench Maize (Zambia),5,4,13.0,0.09375,13.0,2.0,0.7333333333333333,"[0.777597, 0.693772, 0.71165, 0.648374, 0.635853]","[0.70006, 0.865302, 0.818209, 0.695209, 0.860754]","[-0.077537, 0.17153, 0.106559, 0.046835, 0.224901]"
CY-Bench Maize (Zambia),10,5,37.0,0.1875,37.0,18.0,0.34545454545454546,"[0.728533, 0.791977, 0.726636, 0.673571, 0.717538, 0.663237, 0.652525, 0.608436, 0.598717, 0.637786]","[0.684238, 0.773933, 0.639119, 0.663822, 0.597507, 0.703298, 0.880758, 0.939958, 0.719797, 1.078825]","[-0.044295, -0.018044, -0.087517, -0.009749, -0.12003, 0.040061, 0.228234, 0.331522, 0.12108, 0.44104]"
SustainBench Soybean,5,3,9.0,0.40625,9.0,6.0,0.2,"[0.531534, 0.549782, 0.539454, 0.533277, 0.541462]","[0.553271, 0.553628, 0.512482, 0.572389, 0.530283]","[0.021736, 0.003846, -0.026972, 0.039112, -0.011179]"
SustainBench Soybean,10,8,37.0,0.1875,37.0,18.0,0.34545454545454546,"[0.53688, 0.531203, 0.530595, 0.552512, 0.508365, 0.576345, 0.563031, 0.505993, 0.555169, 0.534476]","[0.562633, 0.556208, 0.560486, 0.56215, 0.543036, 0.57984, 0.498354, 0.53207, 0.524116, 0.550743]","[0.025753, 0.025005, 0.029891, 0.009639, 0.034671, 0.003494, -0.064677, 0.026077, -0.031053, 0.016267]"
