DATASET | WINDOW | MODEL | R2_ORIGINAL | R2_INTERPOLATED | N_TRAIN_ORIG | N_TRAIN_INTERP | N_TEST_ORIG | N_TEST_INTERP
CY-Bench Wheat (Europe) | 2006-2008 | XGBoost | 0.166 | 0.255 | 671.7 | 671.7 | 23.7 | 23.7
CY-Bench Wheat (Europe) | 2007-2009 | Random Forest | 0.027 | 0.108 | 663.0 | 663.0 | 25.0 | 25.0
CY-Bench Wheat (Europe) | 2007-2009 | Ridge | 0.342 | 0.363 | 663.0 | 663.0 | 25.0 | 25.0
CY-Bench Wheat (Europe) | 2007-2009 | XGBoost | -0.072 | 0.097 | 663.0 | 663.0 | 25.0 | 25.0
CY-Bench Wheat (Europe) | 2008-2010 | Random Forest | 0.111 | 0.151 | 636.0 | 636.0 | 32.0 | 32.0
CY-Bench Wheat (Europe) | 2008-2010 | Ridge | 0.133 | 0.162 | 636.0 | 636.0 | 32.0 | 32.0
CY-Bench Wheat (Europe) | 2008-2010 | XGBoost | 0.180 | 0.232 | 636.0 | 636.0 | 32.0 | 32.0
CY-Bench Wheat (Europe) | 2009-2011 | Random Forest | 0.183 | 0.196 | 627.7 | 627.7 | 34.7 | 34.7
CY-Bench Wheat (Europe) | 2009-2011 | Ridge | 0.166 | 0.179 | 627.7 | 627.7 | 34.7 | 34.7
CY-Bench Wheat (Europe) | 2009-2011 | XGBoost | 0.137 | 0.207 | 627.7 | 627.7 | 34.7 | 34.7
CY-Bench Wheat (Europe) | 2010-2012 | Random Forest | 0.188 | 0.171 | 624.0 | 624.0 | 35.0 | 35.0
CY-Bench Wheat (Europe) | 2010-2012 | Ridge | 0.226 | 0.227 | 624.0 | 624.0 | 35.0 | 35.0
CY-Bench Wheat (Europe) | 2010-2012 | XGBoost | 0.154 | 0.102 | 624.0 | 624.0 | 35.0 | 35.0
CY-Bench Wheat (Europe) | 2011-2013 | Random Forest | 0.151 | 0.153 | 623.3 | 623.3 | 35.3 | 35.3
CY-Bench Wheat (Europe) | 2011-2013 | Ridge | 0.340 | 0.332 | 623.3 | 623.3 | 35.3 | 35.3
CY-Bench Wheat (Europe) | 2011-2013 | XGBoost | 0.072 | 0.085 | 623.3 | 623.3 | 35.3 | 35.3
CY-Bench Wheat (Europe) | 2012-2014 | Random Forest | 0.217 | 0.260 | 623.7 | 623.7 | 33.7 | 33.7
CY-Bench Wheat (Europe) | 2012-2014 | Ridge | 0.324 | 0.332 | 623.7 | 623.7 | 33.7 | 33.7
CY-Bench Wheat (Europe) | 2012-2014 | XGBoost | 0.324 | 0.270 | 623.7 | 623.7 | 33.7 | 33.7
CY-Bench Wheat (Europe) | 2013-2015 | Random Forest | 0.207 | 0.234 | 634.3 | 634.3 | 32.3 | 32.3
CY-Bench Wheat (Europe) | 2013-2015 | Ridge | 0.365 | 0.385 | 634.3 | 634.3 | 32.3 | 32.3
CY-Bench Wheat (Europe) | 2013-2015 | XGBoost | 0.266 | 0.227 | 634.3 | 634.3 | 32.3 | 32.3
CY-Bench Wheat (Europe) | 2014-2016 | Random Forest | 0.241 | 0.218 | 626.0 | 626.0 | 33.0 | 33.0
CY-Bench Wheat (Europe) | 2014-2016 | Ridge | 0.454 | 0.471 | 626.0 | 626.0 | 33.0 | 33.0
CY-Bench Wheat (Europe) | 2014-2016 | XGBoost | 0.244 | 0.239 | 626.0 | 626.0 | 33.0 | 33.0
